organization	organ	organization
:	:	:
queen	queen	queen
'	'	'
s	s	s
university	univers	university
at	at	at
kingston	kingston	kingston

from	from	from
:	:	:
graydon	graydon	graydon
<	<	<
saundrsg@qucdn.queensu.ca	saundrsg@qucdn.queensu.ca	saundrsg@qucdn.queensu.ca
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
what	what	what
if	if	if
the	the	the
ussr	ussr	ussr
had	had	had
reached	reach	reached
the	the	the
moon	moon	moon
first	first	first
?	?	?

<	<	<
dxb105	dxb105	dxb105
.	.	.
734155421	734155421	734155421
@	@	@
aries	ari	aries
>	>	>
<	<	<
1993apr7.124724.22534@yang.earlham.edu	1993apr7.124724.22534@yang.earlham.edu	1993apr7.124724.22534@yang.earlham.edu
>	>	>

<	<	<
dxb105	dxb105	dxb105
.	.	.
734495289	734495289	734495289
@	@	@
virgo	virgo	virgo
>	>	>
<	<	<
1993apr12.161742.22647@yang.earlham.edu	1993apr12.161742.22647@yang.earlham.edu	1993apr12.161742.22647@yang.earlham.edu
>	>	>

<	<	<
93107.144339saundrsg@qucdn.queensu.ca	93107.144339saundrsg@qucdn.queensu.ca	93107.144339saundrsg@qucdn.queensu.ca
>	>	>
<	<	<
1993apr18.091051.14496@ke4zv.uucp	1993apr18.091051.14496@ke4zv.uucp	1993apr18.091051.14496@ke4zv.uucp
>	>	>
lines	line	line
:	:	:
38	38	38

in	in	in
article	articl	article
<	<	<
1993apr18.091051.14496@ke4zv.uucp	1993apr18.091051.14496@ke4zv.uucp	1993apr18.091051.14496@ke4zv.uucp
>	>	>
,	,	,
gary@ke4zv.uucp	gary@ke4zv.uucp	gary@ke4zv.uucp
(	(	(
gary	gari	gary
coffman	coffman	coffman
)	)	)
says	say	say
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
93107.144339saundrsg@qucdn.queensu.ca	93107.144339saundrsg@qucdn.queensu.ca	93107.144339saundrsg@qucdn.queensu.ca
>	>	>
graydon	graydon	graydon

>	>	>
<	<	<
saundrsg@qucdn.queensu.ca	saundrsg@qucdn.queensu.ca	saundrsg@qucdn.queensu.ca
>	>	>
writes	write	writes
:	:	:

>	>	>
>	>	>
this	this	this
is	is	is
turning	turn	turning
into	into	into
'	'	'
what	what	what
'	'	'
s	s	s
a	a	a
moonbase	moonbas	moonbase
good	good	good
for	for	for
'	'	'
,	,	,
and	and	and
i	i	i
ought	ought	ought

>	>	>
>	>	>
not	not	not
to	to	to
post	post	post
when	when	when
i	i	i
'	'	'
ve	ve	ve
a	a	a
hundred	hundr	hundred
some	some	some
odd	odd	odd
posts	post	post
to	to	to
go	go	go
,	,	,
but	but	but
i	i	i
would	would	would

>	>	>
>	>	>
