from	from	from
:	:	:
hap@scubed.com	hap@scubed.com	hap@scubed.com
(	(	(
hap	hap	hap
freiberg	freiberg	freiberg
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
the	the	the
u	u	u
.	.	.
s	s	s
.	.	.
holocaust	holocaust	holocaust
memorial	memori	memorial
museum	museum	museum
:	:	:
a	a	a
costly	cost	costly
and	and	and
dangerous	danger	dangerous
mistake	mistak	mistake

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
s3saturn	s3saturn	s3saturn

organization	organ	organization
:	:	:
s	s	s
-	-	-
cubed	cube	cubed
,	,	,
a	a	a
division	divis	division
of	of	of
maxwell	maxwel	maxwell
labs	lab	lab
;	;	;
san	san	san
diego	diego	diego
ca	ca	ca

lines	line	line
:	:	:
26	26	26

in	in	in
article	articl	article
<	<	<
smith.93apr21183049@minerva.harvard.edu	smith.93apr21183049@minerva.harvard.edu	smith.93apr21183049@minerva.harvard.edu
>	>	>
smith@minerva.harvard.edu	smith@minerva.harvard.edu	smith@minerva.harvard.edu
(	(	(
steven	steven	steven
smith	smith	smith
)	)	)
writes	write	writes
:	:	:

>	>	>
dgannon@techbook.techbook.com	dgannon@techbook.techbook.com	dgannon@techbook.techbook.com
(	(	(
dan	dan	dan
gannon	gannon	gannon
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
the	the	the
u	u	u
.	.	.
s	s	s
.	.	.
holocaust	holocaust	holocaust
memorial	memori	memorial
museum	museum	museum
:	:	:
a	a	a
costly	cost	costly
and	and	and
dangerous	danger	dangerous
mistake	mistak	mistake

>	>	>
>	>	>

>	>	>
>	>	>
by	by	by
theodore	theodor	theodore
j	j	j
.	.	.

o	o	o
'	'	'
keefe	keef	keefe

>	>	>
>	>	>
[	[	[
holocaust	holocaust	holocaust
revisionism	revision	revisionism
]	]	]

>	>	>
>	>	>

>	>	>
>	>	>
theodore	theodor	theodore
j	j	j
.	.	.

o	o	o
'	'	'
keefe	keef	keefe
is	is	is
an	an	an
editor	editor	editor
with	with	with
the	the	the
institute	institut	institute
for	for	for
historical	histor	historical

>	>	>
>	>	>
review	review	review
.	.	.

educated	educ	educated
at	at	at
harvard	harvard	harvard
university	univers	university
.	.	.

.	.	.

.	.	.

>	>	>

>	>	>
according	accord	according
to	to	to
the	the	the
1990	1990	1990
harvard	harvard	harvard
alumni	alumni	alumnus
directory	directori	directory
,	,	,
mr	mr	mr
.	.	.
o	o	o
'	'	'
keefe	keef	keefe
failed	fail	failed
to	to	to

>	>	>
graduate	graduat	graduate
.	.	.

you	you	you
may	may	may
decide	decid	decide
for	for	for
yourselves	yourselv	yourselves
if	if	if
he	he	he
was	was	wa
indeed	inde	indeed
educated	educ	educated

>	>	>
anywhere	anywher	anywhere
.	.	.

>	>	>

>	>	>
steven	steven	steven
smith	smith	smith

is	is	is
any	ani	any
education	educ	education
a	a	a
prerequisite	prerequisit	prerequisite
for	for	for
employment	employ	employment
at	at	at
ihr	ihr	ihr
?	?	?

is	is	is
it	it	it
true	true	true
that	that	that
ihr	ihr	ihr
really	realli	really
stands	stand	stand
for	for	for
institution	institut	institution
of	of	of
hysterical	hyster	hysterical
reviews	review	review
?	?	?

curious	curious	curious
minds	mind	mind
would	would	would
like	like	like
to	to	to
know	know	know
.	.	.
.	.	.
.	.	.

hap	hap	hap

-	-	-
-	-	-

*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
