x	x	x
-	-	-
mailer	mailer	mailer
:	:	:
tmail	tmail	tmail
version	version	version
1	1	1
.	.	.
15r	15r	15r
from	from	from
:	:	:
"	"	"
d	d	d
.	.	.
c	c	c
.	.	.
sessions	session	session
"	"	"
<	<	<
dcs@witsend.tnet.com	dcs@witsend.tnet.com	dcs@witsend.tnet.com
>	>	>
organization	organ	organization
:	:	:
nobody	nobodi	nobody
but	but	but
me	me	me
-	-	-
-	-	-
really	realli	really
subject	subject	subject
:	:	:
rules	rule	rule
of	of	of
engagement	engag	engagement
(	(	(
was	was	wa
:	:	:
18	18	18
israelis	isra	israeli
murdered	murder	murdered
in	in	in
march	march	march
distribution	distribut	distribution
:	:	:
world	world	world
lines	line	line
:	:	:
77	77	77

in	in	in
<	<	<
1993apr8.212737.19245@thunder.mcrcim.mcgill.edu	1993apr8.212737.19245@thunder.mcrcim.mcgill.edu	1993apr8.212737.19245@thunder.mcrcim.mcgill.edu
>	>	>
,	,	,
hasan@mcrcim.mcgill.edu	hasan@mcrcim.mcgill.edu	hasan@mcrcim.mcgill.edu
wrote	wrote	wrote
:	:	:

#	#	#

#	#	#
in	in	in
article	articl	article
<	<	<
1993apr8.143232@frej.teknikum.uu.se	1993apr8.143232@frej.teknikum.uu.s	1993apr8.143232@frej.teknikum.uu.se
>	>	>
,	,	,
flax@frej.teknikum.uu.se	flax@frej.teknikum.uu.s	flax@frej.teknikum.uu.se
(	(	(
jonas	jona	jonas
flygare	flygar	flygare
)	)	)
writes	write	writes
:	:	:

#	#	#
|	|	|
>	>	>
in	in	in
article	articl	article
<	<	<
1993apr6.150829.6425@thunder.mcrcim.mcgill.edu	1993apr6.150829.6425@thunder.mcrcim.mcgill.edu	1993apr6.150829.6425@thunder.mcrcim.mcgill.edu
>	>	>
,	,	,
hasan@mcrcim.mcgill.edu	hasan@mcrcim.mcgill.edu	hasan@mcrcim.mcgill.edu
writes	write	writes
:	:	:

#	#	#
|	|	|
>	>	>
|	|	|
>	>	>
in	in	in
article	articl	article
<	<	<
flax.93apr6125933@frej.teknikum.uu.se	flax.93apr6125933@frej.teknikum.uu.s	flax.93apr6125933@frej.teknikum.uu.se
>	>	>
,	,	,
flax@frej.teknikum.uu.se	flax@frej.teknikum.uu.s	flax@frej.teknikum.uu.se
(	(	(
jonas	jona	jonas
flygare	flygar	flygare
)	)	)
writes	write	writes
:	:	:

#	#	#
|	|	|
>	>	>

#	#	#
|	|	|
>	>	>
|	|	|
>	>	>
|	|	|
>	>	>
first	first	first
,	,	,
my	my	my
above	abov	above
statement	statement	statement
doesnot	doesnot	doesnot
say	say	say
that	that	that
"	"	"
the	the	the
existence	exist	existence
of	of	of
israeli	isra	israeli
citizens	citizen	citizen

#	#	#
|	|	|
>	>	>
|	|	|
>	>	>
|	|	|
>	>	>
in	in	in
the	the	the
wb	wb	wb
revoke	revok	revoke
their	their	their
right	right	right
of	of	of
life	life	life
"	"	"
but	but	but
it	it	it
says	say	say
"	"	"
the	the	the
israeli	isra	israeli
occupation	occup	occupation

#	#	#
|	|	|
>	>	>
|	|	|
>	>	>
|	|	|
>	>	>
of	of	of
the	the	the
wb	wb	wb
revoke	revok	revoke
the	the	the
right	right	right
of	of	of
life	life	life
for	for	for
some	some	some
/	/	/
most	most	most
its	it	it
citizens	citizen	citizen
-	-	-
basically	basic	basically

#	#	#
|	|	|
>	>	>
|	|	|
>	>	>
|	|	|
>	>	>
revokes	revok	revoke
the	the	the
right	right	right
of	of	of
for	for	for
its	it	it
military	militari	military
men	men	men
"	"	"
.	.	.

clearly	clear	clearly
,	,	,
occupation	occup	occupation
is	is	is
an	an	an

#	#	#
|	|	|
>	>	>
|	|	|
>	>	>
|	|	|
>	>	>
undeclared	undeclar	undeclared
war	war	war
;	;	;
during	dure	during
war	war	war
,	,	,
attacks	attack	attack
against	against	against
military	militari	military
targets	target	target
are	are	are
fully	fulli	fully
legitimate	legitim	legitimate
.	.	.

#	#	#
|	|	|
>	>	>

#	#	#
|	|	|
>	>	>
i	i	i
'	'	'
d	d	d
like	like	like
you	you	you
to	to	to
tell	tell	tell
me	me	me
,	,	,
in	in	in
your	your	your
own	own	own
words	word	word
who	who	who
the	the	the
military	militari	military
are	are	are
,	,	,
wrt	wrt	wrt
israel	israel	israel
then	then	then
.	.	.

#	#	#
|	|	|
>	>	>
in	in	in
uniform	uniform	uniform
,	,	,
or	or	or
not	not	not
?	?	?

on	on	on
duty	duti	duty
,	,	,
or	or	or
off	off	off
-	-	-
duty	duti	duty
?	?	?

soldier	soldier	soldier
to	to	to
be	be	be
,	,	,
or	or	or
not	not	not
?	?	?

#	#	#
|	|	|
>	>	>
(	(	(
that	that	that
is	is	is
,	,	,
since	sinc	since
it	it	it
'	'	'
s	s	s
compulsory	compulsori	compulsory
one	one	one
might	might	might
regard	regard	regard
any	ani	any
israeli	isra	israeli
as	as	a
a	a	a

#	#	#
|	|	|
>	>	>
legit	legit	legit
target	target	target
using	use	using
that	that	that
definition	definit	definition
)	)	)

#	#	#

#	#	#
in	in	in
uniform	uniform	uniform
or	or	or
not	not	not
?	?	?

doesnot	doesnot	doesnot
make	make	make
a	a	a
difference	differ	difference
if	if	if
the	the	the
person	person	person
is	is	is
in	in	in
army	armi	army
.	.	.

#	#	#
