organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
<	<	<
u49839@uicvm.uic.edu	u49839@uicvm.uic.edu	u49839@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
harry	harri	harry
caray	caray	caray

distribution	distribut	distribution
:	:	:
na	na	na

lines	line	line
:	:	:
17	17	17

last	last	last
night	night	night
bill	bill	bill
veeck	veeck	veeck
cam	cam	cam
to	to	to
me	me	me
in	in	in
my	my	my
dreams	dream	dream
and	and	and
this	this	this
is	is	is
what	what	what
he	he	he
said	said	said
:	:	:

cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
scuk	scuk	scuk
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
cuck	cuck	cuck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck
cubs	cub	cub
suck	suck	suck

oh	oh	oh
yeah	yeah	yeah
,	,	,
he	he	he
aqlso	aqlso	aqlso
added	ad	added
that	that	that
harry	harri	harry
is	is	is
a	a	a
drunken	drunken	drunken
idiot	idiot	idiot
who	who	who
shoulda	shoulda	shoulda
stayed	stay	stayed
in	in	in
st	st	st
louis	loui	louis
where	where	where
his	his	his
heart	heart	heart
is	is	is
,	,	,
but	but	but
also	also	also
added	ad	added
that	that	that
fair	fair	fair
weathered	weather	weathered
fans	fan	fan
all	all	all
like	like	like
to	to	to
be	be	be
together	togeth	together
.	.	.

i	i	i
guess	guess	guess
this	this	this
is	is	is
the	the	the
reason	reason	reason
harry	harri	harry
is	is	is
now	now	now
a	a	a
cub	cub	cub
fan	fan	fan
,	,	,
bud	bud	bud
man	man	man
.	.	.

note	note	note
he	he	he
never	never	never
really	realli	really
left	left	left
st	st	st
,	,	,
louis	loui	louis
.	.	.

jim	jim	jim
walker	walker	walker

go	go	go
sox	sox	sox
,	,	,
cubs	cub	cub
suck	suck	suck
!	!	!
