subject	subject	subject
:	:	:
automated	autom	automated
x	x	x
testing	test	testing

from	from	from
:	:	:
mark@trident.datasys.swri.edu	mark@trident.datasys.swri.edu	mark@trident.datasys.swri.edu
(	(	(
mark	mark	mark
d	d	d
.	.	.

collier	collier	collier
)	)	)
organization	organ	organization
:	:	:
southwest	southwest	southwest
research	research	research
institute	institut	institute
lines	line	line
:	:	:
13	13	13

does	doe	doe
anyone	anyon	anyone
know	know	know
what	what	what
is	is	is
available	avail	available
in	in	in
terms	term	term
of	of	of
automated	autom	automated
testing	test	testing
of	of	of
x	x	x
/	/	/
motif	motif	motif
applications	applic	application
.	.	.

i	i	i
am	am	am
thinking	think	thinking
of	of	of
a	a	a
system	system	system
which	which	which
i	i	i
could	could	could
program	program	program
(	(	(
or	or	or
which	which	which
could	could	could
record	record	record
events	event	event
/	/	/
output	output	output
)	)	)
with	with	with
our	our	our
verification	verif	verification
test	test	test
procedures	procedur	procedure
and	and	and
then	then	then
run	run	run
/	/	/
rerun	rerun	rerun
each	each	each
time	time	time
we	we	we
do	do	do
regression	regress	regression
testing	test	testing
.	.	.

i	i	i
am	am	am
interested	interest	interested
in	in	in
a	a	a
product	product	product
like	like	like
this	this	this
for	for	for
our	our	our
unix	unix	unix
projects	project	project
and	and	and
for	for	for
a	a	a
separate	separ	separate
project	project	project
which	which	which
will	will	will
be	be	be
using	use	using
openvms	openvm	openvms
.	.	.

~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
mark	mark	mark
d	d	d
.	.	.

collier	collier	collier
southwest	southwest	southwest
research	research	research
institute	institut	institute
senior	senior	senior
research	research	research
analyst	analyst	analyst
automation	autom	automation
and	and	and
data	data	data
systems	system	system
division	divis	division
voice	voic	voice
:	:	:
(	(	(
512) 522-3437	512) 522-3437	512) 522-3437
data	data	data
systems	system	system
department	depart	department
fax	fax	fax
:	:	:
(	(	(
512) 522-5499	512) 522-5499	512) 522-5499
software	softwar	software
engineering	engin	engineering
section	section	section

~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
