from	from	from
:	:	:
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com
(	(	(
robert	robert	robert
beauchaine	beauchain	beauchaine
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
after	after	after
2000	2000	2000
years	year	year
,	,	,
can	can	can
we	we	we
say	say	say
that	that	that
christian	christian	christian
morality	moral	morality
is	is	is

organization	organ	organization
:	:	:
tektronix	tektronix	tektronix
inc	inc	inc
.	.	.
,	,	,
beaverton	beaverton	beaverton
,	,	,
or	or	or
.	.	.

lines	line	line
:	:	:
33	33	33

in	in	in
article	articl	article
<	<	<
c5l1ey.jts@news.cso.uiuc.edu	c5l1ey.jts@news.cso.uiuc.edu	c5l1ey.jts@news.cso.uiuc.edu
>	>	>
cobb@alexia.lis.uiuc.edu	cobb@alexia.lis.uiuc.edu	cobb@alexia.lis.uiuc.edu
(	(	(
mike	mike	mike
cobb	cobb	cobb
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
<	<	<
11825@vice.ico.tek.com	11825@vice.ico.tek.com	11825@vice.ico.tek.com
>	>	>
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com
(	(	(
robert	robert	robert
beauchaine	beauchain	beauchaine
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>

>	>	>
>	>	>
actually	actual	actually
,	,	,
my	my	my
atheism	atheism	atheism
is	is	is
based	base	based
on	on	on
ignorance	ignor	ignorance
.	.	.

ignorance	ignor	ignorance
of	of	of
the	the	the

>	>	>
>	>	>
existence	exist	existence
of	of	of
any	ani	any
god	god	god
.	.	.

don	don	don
'	'	'
t	t	t
fall	fall	fall
into	into	into
the	the	the
"	"	"
atheists	atheist	atheist
don	don	don
'	'	'
t	t	t
believe	believ	believe

>	>	>
>	>	>
because	becaus	because
of	of	of
their	their	their
pride	pride	pride
"	"	"
mistake	mistak	mistake
.	.	.

>	>	>

>	>	>
how	how	how
do	do	do
you	you	you
know	know	know
it	it	it
'	'	'
s	s	s
based	base	based
on	on	on
ignorance	ignor	ignorance
,	,	,
couldn	couldn	couldn
'	'	'
t	t	t
that	that	that
be	be	be
wrong	wrong	wrong
?	?	?

why	whi	why
would	would	would
it	it	it

>	>	>
be	be	be
wrong	wrong	wrong

>	>	>
to	to	to
fall	fall	fall
into	into	into
the	the	the
trap	trap	trap
that	that	that
you	you	you
mentioned	mention	mentioned
?	?	?

>	>	>

if	if	if
i	i	i
'	'	'
m	m	m
wrong	wrong	wrong
,	,	,
god	god	god
is	is	is
free	free	free
at	at	at
any	ani	any
time	time	time
to	to	to
correct	correct	correct
my	my	my
mistake	mistak	mistake
.	.	.

that	that	that

he	he	he
continues	continu	continues
not	not	not
to	to	to
do	do	do
so	so	so
,	,	,
while	while	while
supposedly	suppos	supposedly
proclaiming	proclaim	proclaiming
his	his	his

undying	undi	undying
love	love	love
for	for	for
my	my	my
eternal	etern	eternal
soul	soul	soul
,	,	,
speaks	speak	speaks
volumes	volum	volume
.	.	.

as	as	a
for	for	for
the	the	the
trap	trap	trap
,	,	,
you	you	you
are	are	are
not	not	not
in	in	in
a	a	a
position	posit	position
to	to	to
tell	tell	tell
me	me	me
that	that	that
i	i	i
don	don	don
'	'	'
t	t	t

believe	believ	believe
in	in	in
god	god	god
because	becaus	because
i	i	i
do	do	do
not	not	not
wish	wish	wish
to	to	to
.	.	.

unless	unless	unless
you	you	you
can	can	can
know	know	know
my	my	my

motivations	motiv	motivation
better	better	better
than	than	than
i	i	i
do	do	do
myself	myself	myself
,	,	,
you	you	you
should	should	should
believe	believ	believe
me	me	me
when	when	when
i	i	i

say	say	say
that	that	that
i	i	i
earnestly	earnest	earnestly
searched	search	searched
for	for	for
god	god	god
for	for	for
years	year	year
and	and	and
never	never	never
found	found	found

him	him	him
.	.	.

/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\

bob	bob	bob
beauchaine	beauchain	beauchaine
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com

they	they	they
said	said	said
that	that	that
queens	queen	queen
could	could	could
stay	stay	stay
,	,	,
they	they	they
blew	blew	blew
the	the	the
bronx	bronx	bronx
away	away	away
,	,	,
and	and	and
sank	sank	sank
manhattan	manhattan	manhattan
out	out	out
at	at	at
sea	sea	sea
.	.	.

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
